loc_id,date,animal,regis_count,removal_count,update_date
NTP028,2025/11/17,0,1,0,2025/11/18
NTP027,2025/11/17,0,0,0,2025/11/18
NTP001,2025/11/17,0,9,0,2025/11/18
NTP011,2025/11/17,0,0,0,2025/11/18
NTP018,2025/11/17,0,0,0,2025/11/18
NTP019,2025/11/17,0,0,0,2025/11/18
NTP012,2025/11/17,0,1,0,2025/11/18
NTP024,2025/11/17,0,0,0,2025/11/18
NTP025,2025/11/17,0,0,0,2025/11/18
NTP026,2025/11/17,0,0,0,2025/11/18
NTP006,2025/11/17,0,5,0,2025/11/18
NTP020,2025/11/17,0,0,0,2025/11/18
NTP029,2025/11/17,0,0,0,2025/11/18
NTP004,2025/11/17,0,6,0,2025/11/18
NTP003,2025/11/17,0,21,0,2025/11/18
NTP013,2025/11/17,0,1,0,2025/11/18
NTP009,2025/11/17,0,0,0,2025/11/18
NTP007,2025/11/17,0,0,0,2025/11/18
NTP008,2025/11/17,0,0,0,2025/11/18
NTP002,2025/11/17,0,2,0,2025/11/18
NTP005,2025/11/17,0,4,0,2025/11/18
NTP016,2025/11/17,0,0,0,2025/11/18
NTP017,2025/11/17,0,1,0,2025/11/18
NTP014,2025/11/17,0,0,0,2025/11/18
NTP015,2025/11/17,0,1,0,2025/11/18
NTP023,2025/11/17,0,0,0,2025/11/18
NTP010,2025/11/17,0,11,0,2025/11/18
NTP021,2025/11/17,0,2,0,2025/11/18
NTP022,2025/11/17,0,0,0,2025/11/18
NTP028,2025/11/17,1,0,0,2025/11/18
NTP027,2025/11/17,1,1,0,2025/11/18
NTP001,2025/11/17,1,29,0,2025/11/18
NTP011,2025/11/17,1,12,0,2025/11/18
NTP018,2025/11/17,1,2,0,2025/11/18
NTP019,2025/11/17,1,0,0,2025/11/18
NTP012,2025/11/17,1,3,0,2025/11/18
NTP024,2025/11/17,1,0,0,2025/11/18
NTP025,2025/11/17,1,0,0,2025/11/18
NTP026,2025/11/17,1,0,0,2025/11/18
NTP006,2025/11/17,1,17,0,2025/11/18
NTP020,2025/11/17,1,0,0,2025/11/18
NTP029,2025/11/17,1,0,0,2025/11/18
NTP004,2025/11/17,1,8,0,2025/11/18
NTP003,2025/11/17,1,13,0,2025/11/18
NTP013,2025/11/17,1,10,0,2025/11/18
NTP009,2025/11/17,1,10,0,2025/11/18
NTP007,2025/11/17,1,3,0,2025/11/18
NTP008,2025/11/17,1,9,0,2025/11/18
NTP002,2025/11/17,1,16,0,2025/11/18
