loc_id,date,animal,regis_count,removal_count,update_date
NTP028,2025/11/13,0,0,0,2025/11/14
NTP027,2025/11/13,0,0,0,2025/11/14
NTP001,2025/11/13,0,12,0,2025/11/14
NTP011,2025/11/13,0,1,0,2025/11/14
NTP018,2025/11/13,0,0,0,2025/11/14
NTP019,2025/11/13,0,1,0,2025/11/14
NTP012,2025/11/13,0,0,0,2025/11/14
NTP024,2025/11/13,0,0,0,2025/11/14
NTP025,2025/11/13,0,0,0,2025/11/14
NTP026,2025/11/13,0,0,0,2025/11/14
NTP006,2025/11/13,0,1,0,2025/11/14
NTP020,2025/11/13,0,0,0,2025/11/14
NTP029,2025/11/13,0,0,0,2025/11/14
NTP004,2025/11/13,0,0,0,2025/11/14
NTP003,2025/11/13,0,7,0,2025/11/14
NTP013,2025/11/13,0,0,0,2025/11/14
NTP009,2025/11/13,0,0,0,2025/11/14
NTP007,2025/11/13,0,0,0,2025/11/14
NTP008,2025/11/13,0,0,0,2025/11/14
NTP002,2025/11/13,0,5,0,2025/11/14
NTP005,2025/11/13,0,4,0,2025/11/14
NTP016,2025/11/13,0,0,0,2025/11/14
NTP017,2025/11/13,0,0,0,2025/11/14
NTP014,2025/11/13,0,1,0,2025/11/14
NTP015,2025/11/13,0,0,0,2025/11/14
NTP023,2025/11/13,0,0,0,2025/11/14
NTP010,2025/11/13,0,0,0,2025/11/14
NTP021,2025/11/13,0,0,0,2025/11/14
NTP022,2025/11/13,0,0,0,2025/11/14
NTP028,2025/11/13,1,0,0,2025/11/14
NTP027,2025/11/13,1,0,0,2025/11/14
NTP001,2025/11/13,1,32,0,2025/11/14
NTP011,2025/11/13,1,4,0,2025/11/14
NTP018,2025/11/13,1,0,0,2025/11/14
NTP019,2025/11/13,1,0,0,2025/11/14
NTP012,2025/11/13,1,0,0,2025/11/14
NTP024,2025/11/13,1,0,0,2025/11/14
NTP025,2025/11/13,1,0,0,2025/11/14
NTP026,2025/11/13,1,0,0,2025/11/14
NTP006,2025/11/13,1,4,0,2025/11/14
NTP020,2025/11/13,1,0,0,2025/11/14
NTP029,2025/11/13,1,0,0,2025/11/14
NTP004,2025/11/13,1,6,0,2025/11/14
NTP003,2025/11/13,1,13,0,2025/11/14
NTP013,2025/11/13,1,8,0,2025/11/14
NTP009,2025/11/13,1,5,0,2025/11/14
NTP007,2025/11/13,1,7,0,2025/11/14
NTP008,2025/11/13,1,2,0,2025/11/14
NTP002,2025/11/13,1,14,0,2025/11/14
NTP005,2025/11/13,1,15,0,2025/11/14
NTP016,2025/11/13,1,5,0,2025/11/14
NTP017,2025/11/13,1,5,0,2025/11/14
NTP014,2025/11/13,1,7,0,2025/11/14
NTP015,2025/11/13,1,0,0,2025/11/14
NTP023,2025/11/13,1,8,0,2025/11/14
NTP010,2025/11/13,1,2,0,2025/11/14
