name,place_id,buss_status,geometry,update_time
寵愛寵物美容,ChIJVwVEOEM8aDQR5v4jYsY_3eY,OPERATIONAL,"{'lat': 24.8453983, 'lng': 121.1981083}",2025/11/16 08:11:19
熙望寵物用品店,ChIJ58K5xrM9aDQR_X43UDEV3PE,OPERATIONAL,"{'lat': 24.8360991, 'lng': 121.1951858}",2025/11/16 08:11:19
好大馨寵物美容旅館,ChIJ3zrZsKY9aDQRyveRKHQyNYE,OPERATIONAL,"{'lat': 24.8442485, 'lng': 121.2334175}",2025/11/16 08:11:19
寵愛寵物美容,ChIJVwVEOEM8aDQR5v4jYsY_3eY,OPERATIONAL,"{'lat': 24.8453983, 'lng': 121.1981083}",2025/11/16 08:11:19
北龍寵物美容,ChIJecPxaDI9aDQRWGjTzMgP5Kk,OPERATIONAL,"{'lat': 24.8428903, 'lng': 121.2342396}",2025/11/16 08:11:19
熙望寵物用品店,ChIJ58K5xrM9aDQR_X43UDEV3PE,OPERATIONAL,"{'lat': 24.8360991, 'lng': 121.1951858}",2025/11/16 08:11:19
旺族寵物生活館,ChIJpVfyVaE9aDQRJNcUkkM7Ik4,OPERATIONAL,"{'lat': 24.8431138, 'lng': 121.2342127}",2025/11/16 08:11:19
