city,district,area
彰化縣,溪湖鎮,32.059
彰化縣,田中鎮,34.606
彰化縣,二林鎮,92.848
彰化縣,線西鄉,18.086
彰化縣,伸港鄉,22.327
彰化縣,福興鄉,49.893
彰化縣,秀水鄉,29.345
彰化縣,花壇鄉,36.347
彰化縣,芬園鄉,38.02
彰化縣,大村鄉,30.784
彰化縣,埔鹽鄉,38.608
彰化縣,埔心鄉,20.953
彰化縣,永靖鄉,20.638
彰化縣,社頭鄉,36.145
彰化縣,二水鄉,29.445
彰化縣,田尾鄉,24.038
彰化縣,埤頭鄉,42.751
彰化縣,芳苑鄉,91.383
彰化縣,大城鄉,63.741
彰化縣,竹塘鄉,42.166
彰化縣,溪州鄉,75.831
南投縣,南投縣,4106.436
南投縣,南投市,71.602
南投縣,埔里鎮,162.223
南投縣,草屯鎮,104.033
南投縣,竹山鎮,247.334
南投縣,集集鎮,49.727
南投縣,名間鄉,83.096
南投縣,鹿谷鄉,141.898
南投縣,中寮鄉,146.654
南投縣,魚池鄉,121.374
南投縣,國姓鄉,175.704
南投縣,水里鄉,106.842
南投縣,信義鄉,1422.419
南投縣,仁愛鄉,1273.531
雲林縣,雲林縣,1290.833
雲林縣,斗六市,93.715
雲林縣,斗南鎮,48.15
雲林縣,虎尾鎮,68.742
雲林縣,西螺鎮,49.798
雲林縣,土庫鎮,49.021
雲林縣,北港鎮,41.5
雲林縣,古坑鄉,166.606
雲林縣,大埤鄉,44.997
雲林縣,莿桐鄉,50.85
雲林縣,林內鄉,37.604
雲林縣,二崙鄉,59.562
雲林縣,崙背鄉,58.484
雲林縣,麥寮鄉,80.167
雲林縣,東勢鄉,48.356
雲林縣,褒忠鄉,37.055
雲林縣,臺西鄉,54.098
雲林縣,元長鄉,71.587
雲林縣,四湖鄉,77.119
雲林縣,口湖鄉,80.461
雲林縣,水林鄉,72.958
嘉義縣,嘉義縣,1903.637
嘉義縣,太保市,66.896
嘉義縣,朴子市,49.574
嘉義縣,布袋鎮,61.731
嘉義縣,大林鎮,64.166
嘉義縣,民雄鄉,85.497
嘉義縣,溪口鄉,33.046
嘉義縣,新港鄉,66.05
嘉義縣,六腳鄉,62.262
嘉義縣,東石鄉,81.582
嘉義縣,義竹鄉,79.292
嘉義縣,鹿草鄉,54.315
嘉義縣,水上鄉,69.12
嘉義縣,中埔鄉,129.502
嘉義縣,竹崎鄉,162.226
嘉義縣,梅山鄉,119.757
嘉義縣,番路鄉,117.527
嘉義縣,大埔鄉,173.247
嘉義縣,阿里山鄉,427.847
屏東縣,屏東縣,2775.6
屏東縣,屏東市,65.067
屏東縣,潮州鎮,42.433
屏東縣,東港鎮,29.464
屏東縣,恆春鎮,136.763
屏東縣,萬丹鄉,57.468
屏東縣,長治鄉,39.886
屏東縣,麟洛鄉,16.26
屏東縣,九如鄉,42.019
屏東縣,里港鄉,68.921
屏東縣,鹽埔鄉,64.349
屏東縣,高樹鄉,90.152
屏東縣,萬巒鄉,60.732
屏東縣,內埔鄉,81.855
屏東縣,竹田鄉,29.073
屏東縣,新埤鄉,59.01
屏東縣,枋寮鄉,57.735
屏東縣,新園鄉,38.311
屏東縣,崁頂鄉,31.266
屏東縣,林邊鄉,15.623
屏東縣,南州鄉,18.97
屏東縣,佳冬鄉,30.984
屏東縣,琉球鄉,6.802
屏東縣,車城鄉,49.852
屏東縣,滿州鄉,142.201
屏東縣,枋山鄉,17.27
屏東縣,三地門鄉,196.396
屏東縣,霧臺鄉,278.796
屏東縣,瑪家鄉,78.701
屏東縣,泰武鄉,118.627
屏東縣,來義鄉,167.776
屏東縣,春日鄉,160.001
屏東縣,獅子鄉,301.002
屏東縣,牡丹鄉,181.837
臺東縣,臺東縣,3515.253
臺東縣,臺東市,109.769
臺東縣,成功鎮,143.994
臺東縣,關山鎮,58.735
臺東縣,卑南鄉,412.687
臺東縣,大武鄉,69.145
臺東縣,太麻里鄉,96.652
臺東縣,東河鄉,210.191
臺東縣,長濱鄉,155.187
臺東縣,鹿野鄉,89.698
臺東縣,池上鄉,82.685
臺東縣,綠島鄉,15.092
臺東縣,延平鄉,455.88
臺東縣,海端鄉,880.038
臺東縣,達仁鄉,306.445
臺東縣,金峰鄉,380.664
臺東縣,蘭嶼鄉,48.389
花蓮縣,花蓮縣,4628.571
花蓮縣,花蓮市,29.41
花蓮縣,鳳林鎮,120.518
花蓮縣,玉里鎮,252.372
花蓮縣,新城鄉,29.41
花蓮縣,吉安鄉,65.258
花蓮縣,壽豐鄉,218.445
花蓮縣,光復鄉,157.11
花蓮縣,豐濱鄉,162.433
花蓮縣,瑞穗鄉,135.586
