loc_id,date,animal,regis_count,removal_count,update_date
NTP028,2025/11/14,0,0,0,2025/11/15
NTP027,2025/11/14,0,0,0,2025/11/15
NTP001,2025/11/14,0,10,0,2025/11/15
NTP011,2025/11/14,0,2,0,2025/11/15
NTP018,2025/11/14,0,0,0,2025/11/15
NTP019,2025/11/14,0,0,0,2025/11/15
NTP012,2025/11/14,0,0,0,2025/11/15
NTP024,2025/11/14,0,0,0,2025/11/15
NTP025,2025/11/14,0,0,0,2025/11/15
NTP026,2025/11/14,0,0,0,2025/11/15
NTP006,2025/11/14,0,0,0,2025/11/15
NTP020,2025/11/14,0,0,0,2025/11/15
NTP029,2025/11/14,0,0,0,2025/11/15
NTP004,2025/11/14,0,5,0,2025/11/15
NTP003,2025/11/14,0,10,0,2025/11/15
NTP013,2025/11/14,0,0,0,2025/11/15
NTP009,2025/11/14,0,0,0,2025/11/15
NTP007,2025/11/14,0,0,0,2025/11/15
NTP008,2025/11/14,0,0,0,2025/11/15
NTP002,2025/11/14,0,3,0,2025/11/15
NTP005,2025/11/14,0,3,0,2025/11/15
NTP016,2025/11/14,0,1,0,2025/11/15
NTP017,2025/11/14,0,1,0,2025/11/15
NTP014,2025/11/14,0,1,0,2025/11/15
NTP015,2025/11/14,0,1,0,2025/11/15
NTP023,2025/11/14,0,1,0,2025/11/15
NTP010,2025/11/14,0,6,0,2025/11/15
NTP021,2025/11/14,0,0,0,2025/11/15
NTP022,2025/11/14,0,0,0,2025/11/15
NTP028,2025/11/14,1,0,0,2025/11/15
NTP027,2025/11/14,1,0,0,2025/11/15
NTP001,2025/11/14,1,35,0,2025/11/15
NTP011,2025/11/14,1,6,0,2025/11/15
NTP018,2025/11/14,1,0,0,2025/11/15
NTP019,2025/11/14,1,0,0,2025/11/15
NTP012,2025/11/14,1,0,0,2025/11/15
NTP024,2025/11/14,1,0,0,2025/11/15
NTP025,2025/11/14,1,0,0,2025/11/15
NTP026,2025/11/14,1,0,0,2025/11/15
NTP006,2025/11/14,1,6,0,2025/11/15
NTP020,2025/11/14,1,0,0,2025/11/15
NTP029,2025/11/14,1,0,0,2025/11/15
NTP004,2025/11/14,1,14,0,2025/11/15
NTP003,2025/11/14,1,11,0,2025/11/15
NTP013,2025/11/14,1,10,0,2025/11/15
NTP009,2025/11/14,1,4,0,2025/11/15
NTP007,2025/11/14,1,5,0,2025/11/15
NTP008,2025/11/14,1,3,0,2025/11/15
NTP002,2025/11/14,1,16,0,2025/11/15
NTP005,2025/11/14,1,20,0,2025/11/15
NTP016,2025/11/14,1,3,0,2025/11/15
NTP017,2025/11/14,1,4,0,2025/11/15
NTP014,2025/11/14,1,3,0,2025/11/15
NTP015,2025/11/14,1,2,0,2025/11/15
NTP023,2025/11/14,1,2,0,2025/11/15
NTP010,2025/11/14,1,5,0,2025/11/15
NTP021,2025/11/14,1,1,0,2025/11/15
NTP022,2025/11/14,1,0,0,2025/11/15
TPE005,2025/11/14,0,0,0,2025/11/15
TPE006,2025/11/14,0,1,0,2025/11/15
TPE004,2025/11/14,0,1,0,2025/11/15
TPE001,2025/11/14,0,1,0,2025/11/15
TPE003,2025/11/14,0,9,0,2025/11/15
TPE007,2025/11/14,0,1,0,2025/11/15
TPE002,2025/11/14,0,0,0,2025/11/15
TPE011,2025/11/14,0,0,0,2025/11/15
TPE012,2025/11/14,0,1,0,2025/11/15
TPE010,2025/11/14,0,2,0,2025/11/15
TPE009,2025/11/14,0,0,0,2025/11/15
TPE008,2025/11/14,0,3,0,2025/11/15
TPE005,2025/11/14,1,0,0,2025/11/15
TPE006,2025/11/14,1,1,0,2025/11/15
TPE004,2025/11/14,1,6,0,2025/11/15
TPE001,2025/11/14,1,0,0,2025/11/15
TPE003,2025/11/14,1,14,0,2025/11/15
TPE007,2025/11/14,1,6,0,2025/11/15
TPE002,2025/11/14,1,8,0,2025/11/15
TPE011,2025/11/14,1,6,0,2025/11/15
TPE012,2025/11/14,1,1,0,2025/11/15
TPE010,2025/11/14,1,6,0,2025/11/15
TPE009,2025/11/14,1,0,0,2025/11/15
TPE008,2025/11/14,1,5,0,2025/11/15
TYN002,2025/11/14,0,8,0,2025/11/15
TYN010,2025/11/14,0,1,0,2025/11/15
TYN009,2025/11/14,0,1,0,2025/11/15
TYN004,2025/11/14,0,0,0,2025/11/15
TYN011,2025/11/14,0,0,0,2025/11/15
TYN012,2025/11/14,0,3,0,2025/11/15
TYN001,2025/11/14,0,12,0,2025/11/15
TYN007,2025/11/14,0,0,0,2025/11/15
TYN008,2025/11/14,0,4,0,2025/11/15
TYN003,2025/11/14,0,3,0,2025/11/15
TYN013,2025/11/14,0,0,0,2025/11/15
TYN006,2025/11/14,0,0,0,2025/11/15
TYN005,2025/11/14,0,3,0,2025/11/15
TYN002,2025/11/14,1,20,0,2025/11/15
TYN010,2025/11/14,1,7,0,2025/11/15
TYN009,2025/11/14,1,1,0,2025/11/15
TYN004,2025/11/14,1,18,0,2025/11/15
TYN011,2025/11/14,1,0,0,2025/11/15
TYN012,2025/11/14,1,1,0,2025/11/15
TYN001,2025/11/14,1,30,0,2025/11/15
TYN007,2025/11/14,1,4,0,2025/11/15
TYN008,2025/11/14,1,12,0,2025/11/15
TYN003,2025/11/14,1,1,0,2025/11/15
TYN013,2025/11/14,1,0,0,2025/11/15
TYN006,2025/11/14,1,3,0,2025/11/15
TYN005,2025/11/14,1,8,0,2025/11/15
TCH001,2025/11/14,0,0,0,2025/11/15
TCH002,2025/11/14,0,0,0,2025/11/15
TCH003,2025/11/14,0,6,0,2025/11/15
TCH004,2025/11/14,0,5,0,2025/11/15
TCH005,2025/11/14,0,0,0,2025/11/15
TCH008,2025/11/14,0,2,0,2025/11/15
TCH006,2025/11/14,0,1,0,2025/11/15
TCH007,2025/11/14,0,0,0,2025/11/15
TCH027,2025/11/14,0,2,0,2025/11/15
TCH028,2025/11/14,0,4,0,2025/11/15
TCH026,2025/11/14,0,0,0,2025/11/15
TCH023,2025/11/14,0,0,0,2025/11/15
TCH009,2025/11/14,0,3,0,2025/11/15
TCH015,2025/11/14,0,2,0,2025/11/15
TCH020,2025/11/14,0,0,0,2025/11/15
TCH010,2025/11/14,0,1,0,2025/11/15
TCH029,2025/11/14,0,0,0,2025/11/15
TCH019,2025/11/14,0,0,0,2025/11/15
TCH017,2025/11/14,0,1,0,2025/11/15
TCH018,2025/11/14,0,1,0,2025/11/15
TCH016,2025/11/14,0,0,0,2025/11/15
TCH024,2025/11/14,0,0,0,2025/11/15
TCH013,2025/11/14,0,1,0,2025/11/15
TCH025,2025/11/14,0,1,0,2025/11/15
TCH014,2025/11/14,0,1,0,2025/11/15
TCH012,2025/11/14,0,1,0,2025/11/15
TCH011,2025/11/14,0,0,0,2025/11/15
TCH021,2025/11/14,0,0,0,2025/11/15
TCH022,2025/11/14,0,0,0,2025/11/15
TCH001,2025/11/14,1,1,0,2025/11/15
TCH002,2025/11/14,1,5,0,2025/11/15
