name,place_id,buss_status,geometry,update_time
魚躍七彩神仙魚,ChIJnao3rA07aTQR6Jn5xjPrlyI,OPERATIONAL,"{'lat': 24.0544392, 'lng': 120.6749108}",2025/11/16 08:12:50
阿珠寵物小屋,ChIJC0cC2SA7aTQRLKloXs7Jjt0,OPERATIONAL,"{'lat': 24.0345092, 'lng': 120.6938283}",2025/11/16 08:12:50
歐米菲寵物沙龍旅館,ChIJr7yklQo7aTQRZoTTLGE1Ogs,OPERATIONAL,"{'lat': 24.0661404, 'lng': 120.6895276}",2025/11/16 08:12:50
Jessica 寵物美容,ChIJT91_ekQ7aTQR2WRILdu39Tc,OPERATIONAL,"{'lat': 24.0605025, 'lng': 120.6953285}",2025/11/16 08:12:50
樂寶LovePaws寵物美容,ChIJjVSauOQ7aTQRhLDGRKxro3Q,OPERATIONAL,"{'lat': 24.0655318, 'lng': 120.6976613}",2025/11/16 08:12:50
露達寵物生活工坊,ChIJYURKsEU7aTQRRXvV3KRb4fY,OPERATIONAL,"{'lat': 24.0597433, 'lng': 120.6982307}",2025/11/16 08:12:50
咪亞 寵物美容精品,ChIJV4vBQ0U7aTQRvh_AvcmBQgU,OPERATIONAL,"{'lat': 24.0617913, 'lng': 120.6995078}",2025/11/16 08:12:50
Jessica 寵物美容,ChIJT91_ekQ7aTQR2WRILdu39Tc,OPERATIONAL,"{'lat': 24.0605025, 'lng': 120.6953285}",2025/11/16 08:12:50
歐米菲寵物沙龍旅館,ChIJr7yklQo7aTQRZoTTLGE1Ogs,OPERATIONAL,"{'lat': 24.0661404, 'lng': 120.6895276}",2025/11/16 08:12:50
