loc_id,city,district,area,population
TCH029,臺中市,和平區,1037.82,10476.0
TNA001,臺南市,新營區,38.54,74627.0
TNA002,臺南市,鹽水區,52.25,23764.0
TNA003,臺南市,白河區,126.4,25055.0
TNA004,臺南市,柳營區,61.29,19897.0
TNA005,臺南市,後壁區,72.22,20958.0
TNA006,臺南市,東山區,124.92,18558.0
TNA007,臺南市,麻豆區,53.97,42962.0
TNA008,臺南市,下營區,33.53,21812.0
TNA009,臺南市,六甲區,67.55,20930.0
TNA010,臺南市,官田區,70.8,20563.0
TNA011,臺南市,大內區,70.31,8460.0
TNA012,臺南市,佳里區,38.94,58348.0
TNA013,臺南市,學甲區,53.99,24413.0
TNA014,臺南市,西港區,33.77,24847.0
TNA015,臺南市,七股區,110.15,20580.0
TNA016,臺南市,將軍區,41.98,17704.0
TNA017,臺南市,北門區,44.1,9488.0
TNA018,臺南市,新化區,62.06,41974.0
TNA019,臺南市,善化區,55.31,53800.0
TNA020,臺南市,新市區,47.81,38302.0
TNA021,臺南市,安定區,31.27,29838.0
TNA022,臺南市,山上區,27.88,6838.0
TNA023,臺南市,玉井區,76.37,12709.0
TNA024,臺南市,楠西區,109.63,8436.0
TNA025,臺南市,南化區,171.52,7662.0
TNA026,臺南市,左鎮區,74.9,4075.0
TNA027,臺南市,仁德區,50.77,77504.0
TNA028,臺南市,歸仁區,55.79,70530.0
TNA029,臺南市,關廟區,53.64,33219.0
TNA030,臺南市,龍崎區,64.08,3251.0
TNA031,臺南市,永康區,40.28,235942.0
TNA032,臺南市,東區,13.42,180989.0
TNA033,臺南市,南區,27.27,119431.0
TNA034,臺南市,北區,10.43,125412.0
TNA035,臺南市,安南區,107.2,204497.0
TNA036,臺南市,安平區,11.07,71229.0
TNA037,臺南市,中西區,6.26,76078.0
KSH001,高雄市,鹽埕區,1.42,21942.0
KSH002,高雄市,鼓山區,14.75,140817.0
KSH003,高雄市,左營區,19.38,197775.0
KSH004,高雄市,楠梓區,25.83,195604.0
KSH005,高雄市,三民區,19.79,329100.0
KSH006,高雄市,新興區,1.98,49354.0
KSH007,高雄市,前金區,1.86,27608.0
KSH008,高雄市,苓雅區,8.15,161503.0
KSH009,高雄市,前鎮區,19.12,177427.0
KSH010,高雄市,旗津區,1.73,25019.0
KSH011,高雄市,小港區,45.44,153179.0
KSH012,高雄市,鳳山區,26.76,353431.0
KSH013,高雄市,林園區,32.29,67447.0
KSH014,高雄市,大寮區,71.04,112310.0
KSH015,高雄市,大樹區,66.98,39988.0
KSH016,高雄市,大社區,26.58,33791.0
KSH017,高雄市,仁武區,36.08,100067.0
KSH018,高雄市,鳥松區,24.59,43758.0
KSH019,高雄市,岡山區,47.94,94750.0
KSH020,高雄市,橋頭區,25.94,43320.0
KSH021,高雄市,燕巢區,65.4,28405.0
KSH022,高雄市,田寮區,92.68,6162.0
KSH023,高雄市,阿蓮區,34.62,26817.0
KSH024,高雄市,路竹區,48.43,49123.0
KSH025,高雄市,湖內區,20.16,29340.0
KSH026,高雄市,茄萣區,15.76,28771.0
KSH027,高雄市,永安區,22.61,13529.0
KSH028,高雄市,彌陀區,14.78,17793.0
KSH029,高雄市,梓官區,11.6,34727.0
KSH030,高雄市,旗山區,94.61,33487.0
KSH031,高雄市,美濃區,120.03,36237.0
KSH032,高雄市,六龜區,194.16,11329.0
KSH033,高雄市,甲仙區,124.03,5301.0
KSH034,高雄市,杉林區,104.0,10595.0
KSH035,高雄市,內門區,95.62,12609.0
KSH036,高雄市,茂林區,194.0,1838.0
KSH037,高雄市,桃源區,928.98,4137.0
KSH038,高雄市,那瑪夏區,252.99,3110.0
