name,place_id,buss_status,geometry,update_time,in_boundary,update_date
迷迷寵物生活館,ChIJo4ydjNd1bjQRSNt4kGp-FCY,OPERATIONAL,"{'lat': 22.9184336, 'lng': 120.2259572}",2025/11/12 06:55:17,True,2025/11/12
寶寶寵物生活館,ChIJ_Wkp5ex0bjQRDnem7t6rgRM,OPERATIONAL,"{'lat': 22.9184261, 'lng': 120.2259567}",2025/11/12 06:55:17,True,2025/11/12
貓你兔犬（台南暫無門市，純電商經營）,ChIJGZshos13bjQRtl57lTQIhiY,OPERATIONAL,"{'lat': 22.9196897, 'lng': 120.2110049}",2025/11/12 06:55:17,True,2025/11/12
小品養殖（24小時預約制）蜜袋鼯 刺蝟 坎貝爾卷毛倉鼠 通心粉鼠 肥尾沙鼠 狐獴 雪貂 拇指松鼠 睡鼠 花枝鼠,ChIJTTL2e25zbjQRPCzNcp3hYzI,OPERATIONAL,"{'lat': 22.9077227, 'lng': 120.2508117}",2025/11/12 06:55:17,True,2025/11/12
天然水族器材有限公司,ChIJEf9IwvR0bjQRbZmKYCd2rW4,OPERATIONAL,"{'lat': 22.9271504, 'lng': 120.2285448}",2025/11/12 06:55:17,True,2025/11/12
遠達國際有限公司,ChIJAZSbmYF0bjQRTYKW0TNebfA,OPERATIONAL,"{'lat': 22.9226444, 'lng': 120.2492075}",2025/11/12 06:55:17,True,2025/11/12
PetO2第一家寵物氧氣機/製氧機/氧氣箱/販售(預約制請先電聯),ChIJZbZgYB91bjQRlFgd6gGLHjc,OPERATIONAL,"{'lat': 22.9155782, 'lng': 120.217618}",2025/11/12 06:55:17,True,2025/11/12
百分百寵物生活館 寵物美容(鳳林店) 獸醫師開的寵物店,ChIJd__9IwbjcTQRcxObIkHMrBY,OPERATIONAL,"{'lat': 22.5026654, 'lng': 120.3975342}",2025/11/12 06:55:20,True,2025/11/12
東森寵物 高雄林園東店,ChIJw9qh6nvicTQRCG5w65p5kHk,OPERATIONAL,"{'lat': 22.5037652, 'lng': 120.3965855}",2025/11/12 06:55:20,True,2025/11/12
雅緻水族,ChIJwVnXjHzicTQREDRS8JiUuyM,OPERATIONAL,"{'lat': 22.5023981, 'lng': 120.3940771}",2025/11/12 06:55:20,True,2025/11/12
