city,search_radius,step,coord_count,data_count,type,update_date
新北市,3000,3000,66,16,寵物用品,2025/11/12
桃園市,3000,3000,10,14,寵物用品,2025/11/12
臺中市,3000,3000,2,5,寵物用品,2025/11/12
臺南市,3000,3000,2,12,寵物用品,2025/11/12
高雄市,3000,3000,2,15,寵物用品,2025/11/12
