city,search_radius,step,coord_count,data_count,type,update_date
新北市,3000,3000,26,17,寵物餐廳,2025/11/07
桃園市,3000,3000,9,6,寵物餐廳,2025/11/07
臺中市,3000,3000,2,6,寵物餐廳,2025/11/07
臺南市,3000,3000,2,5,寵物餐廳,2025/11/07
高雄市,3000,3000,2,6,寵物餐廳,2025/11/07
