city,search_radius,step,coord_count,data_count,type,update_date
新北市,3000,3000,43,5,寵物美容,2025/11/16
桃園市,3000,3000,40,7,寵物美容,2025/11/16
臺中市,3000,3000,9,9,寵物美容,2025/11/16
臺南市,3000,3000,4,6,寵物美容,2025/11/16
高雄市,3000,3000,2,10,寵物美容,2025/11/16
臺北市,3000,3000,2,60,寵物美容,2025/11/16
