name,place_id,buss_status,geometry,update_time
憶春風麵館,ChIJ_____3zicTQRlDUqj3srSV8,OPERATIONAL,"{'lat': 22.5062448, 'lng': 120.393675}",2025/11/07 14:42:55
13號 鱔魚·花枝麵,ChIJp0KH6CfjcTQRb66mqXv2GJ0,OPERATIONAL,"{'lat': 22.5069103, 'lng': 120.3955873}",2025/11/07 14:42:55
汪記北方麵食,ChIJ7QQXcgDjcTQRpc3tB4TbSt8,OPERATIONAL,"{'lat': 22.507631, 'lng': 120.3883317}",2025/11/07 14:42:55
上上籤極品麻辣鴛鴦鍋 ｜全台首間 上上籤 成都串串麻辣鍋｜高雄麻辣鍋名店｜台17線美食｜墾丁旅途美食｜高雄美食｜正宗成都串串火鍋｜小琉球美食｜牛油麻辣鍋,ChIJyYrFyrbjcTQR7OpdoTP2VSU,OPERATIONAL,"{'lat': 22.5015313, 'lng': 120.3875284}",2025/11/07 14:42:55
阿香澎湖碳烤,ChIJH-kQvq7jcTQRoxijHv0_BFA,OPERATIONAL,"{'lat': 22.4899491, 'lng': 120.3864569}",2025/11/07 14:42:55
林園菜市場王記古早肉圓,ChIJX43xCHzicTQR8gSRwtV5oeY,OPERATIONAL,"{'lat': 22.5050425, 'lng': 120.3952261}",2025/11/07 14:42:55
