loc_id,city,district,area,population
KSH016,高雄市,大社區,26.585,33791.0
KSH017,高雄市,仁武區,36.081,100067.0
KSH018,高雄市,鳥松區,24.593,43758.0
KSH019,高雄市,岡山區,47.942,94750.0
KSH020,高雄市,橋頭區,25.938,43320.0
KSH021,高雄市,燕巢區,65.395,28405.0
KSH022,高雄市,田寮區,92.68,6162.0
KSH023,高雄市,阿蓮區,34.616,26817.0
KSH024,高雄市,路竹區,48.435,49123.0
KSH025,高雄市,湖內區,20.162,29340.0
KSH026,高雄市,茄萣區,15.762,28771.0
KSH027,高雄市,永安區,22.614,13529.0
KSH028,高雄市,彌陀區,14.777,17793.0
KSH029,高雄市,梓官區,11.597,34727.0
KSH030,高雄市,旗山區,94.612,33487.0
KSH031,高雄市,美濃區,120.032,36237.0
KSH032,高雄市,六龜區,194.158,11329.0
KSH033,高雄市,甲仙區,124.034,5301.0
KSH034,高雄市,杉林區,104.004,10595.0
KSH035,高雄市,內門區,95.622,12609.0
KSH036,高雄市,茂林區,194.0,1838.0
KSH037,高雄市,桃源區,928.98,4137.0
KSH038,高雄市,那瑪夏區,252.99,3110.0
