loc_id,city_id,category_id,regis,removal,pet_count,sum_store_score,category_raw_score,norm_city,norm_all,category_city_score,category_all_score,city_score,all_score,final_score,final_score_10
KSH001,KSH,2,3245,80,3165,8.2682850915253,26.12412351192828,9.3,5.94,0.8370000000000001,0.5346,0.9770000000000001,0.6746,0.8862800000000001,0.93
KSH001,KSH,4,3245,80,3165,0.5447619047619049,1.721206650116603,0.5,0.5,0.075,0.075,0.9770000000000001,0.6746,0.8862800000000001,0.93
KSH001,KSH,5,3245,80,3165,0.5958928571428571,1.882757842473482,0.5,0.5,0.065,0.065,0.9770000000000001,0.6746,0.8862800000000001,0.93
KSH002,KSH,1,20451,879,19572,9.08046231479242,4.639516817286133,6.19,5.22,1.6713000000000002,1.4094,2.5752,2.1137,2.43675,2.56
KSH002,KSH,2,20451,879,19572,9.072900012680535,4.635652980114722,0.64,0.58,0.0576,0.052199999999999996,2.5752,2.1137,2.43675,2.56
KSH002,KSH,3,20451,879,19572,6.450647049024189,3.2958548176089253,2.78,3.03,0.30579999999999996,0.3333,2.5752,2.1137,2.43675,2.56
KSH002,KSH,4,20451,879,19572,6.885972021721306,3.518277141692881,2.03,1.06,0.30449999999999994,0.159,2.5752,2.1137,2.43675,2.56
KSH002,KSH,5,20451,879,19572,8.707463238993368,4.448938912218153,1.7,1.04,0.221,0.13520000000000001,2.5752,2.1137,2.43675,2.56
KSH002,KSH,6,20451,879,19572,0.42499999999999993,0.21714694461475573,0.5,0.82,0.015,0.024599999999999997,2.5752,2.1137,2.43675,2.56
KSH003,KSH,1,21205,1094,20111,13.78108042133155,6.852508786898489,9.5,8.68,2.5650000000000004,2.3436,5.6642,5.3736999999999995,5.57705,5.87
KSH003,KSH,2,21205,1094,20111,13.399475504764833,6.662759437504269,1.45,1.09,0.1305,0.0981,5.6642,5.3736999999999995,5.57705,5.87
KSH003,KSH,3,21205,1094,20111,16.075894866114087,7.993583047145387,9.5,9.5,1.045,1.045,5.6642,5.3736999999999995,5.57705,5.87
KSH003,KSH,4,21205,1094,20111,24.340113341836712,12.102885655530164,9.5,8.17,1.425,1.2255,5.6642,5.3736999999999995,5.57705,5.87
KSH003,KSH,5,21205,1094,20111,12.487902959865563,6.209488816998441,2.99,2.11,0.38870000000000005,0.2743,5.6642,5.3736999999999995,5.57705,5.87
KSH003,KSH,7,21205,1094,20111,0.6799999999999999,0.33812341504649196,0.5,1.76,0.11,0.3872,5.6642,5.3736999999999995,5.57705,5.87
KSH004,KSH,1,22385,3689,18696,8.489359002203617,4.540735452612119,6.03,5.07,1.6281,1.3689000000000002,5.219,4.6367,5.044309999999999,5.31
KSH004,KSH,2,22385,3689,18696,35.027198439648615,18.735129674608803,6.32,4.1,0.5688,0.36899999999999994,5.219,4.6367,5.044309999999999,5.31
KSH004,KSH,3,22385,3689,18696,14.289010806830014,7.642817076823927,9.26,9.5,1.0186,1.045,5.219,4.6367,5.044309999999999,5.31
KSH004,KSH,4,22385,3689,18696,25.61100196721047,13.69865317030941,9.5,9.49,1.425,1.4235,5.219,4.6367,5.044309999999999,5.31
KSH004,KSH,5,22385,3689,18696,15.315245781658486,8.191723246501116,4.45,3.31,0.5785,0.4303,5.219,4.6367,5.044309999999999,5.31
KSH005,KSH,1,37120,1852,35268,17.557975450134702,4.978443759253346,6.75,5.75,1.8225000000000002,1.5525000000000002,5.5552,3.8832000000000004,5.053599999999999,5.32
KSH005,KSH,2,37120,1852,35268,15.448802397690788,4.380402176956671,0.53,0.52,0.0477,0.0468,5.5552,3.8832000000000004,5.053599999999999,5.32
KSH005,KSH,3,37120,1852,35268,18.077764790338843,5.1258264688496205,5.51,5.76,0.6061,0.6335999999999999,5.5552,3.8832000000000004,5.053599999999999,5.32
KSH005,KSH,4,37120,1852,35268,22.251186039333582,6.309171498053074,4.79,3.37,0.7185,0.5055,5.5552,3.8832000000000004,5.053599999999999,5.32
KSH005,KSH,5,37120,1852,35268,17.5379705525775,4.97277150747916,2.08,1.36,0.27040000000000003,0.1768,5.5552,3.8832000000000004,5.053599999999999,5.32
KSH005,KSH,7,37120,1852,35268,1.7250124384810168,0.4891154696838541,9.5,4.4,2.09,0.9680000000000001,5.5552,3.8832000000000004,5.053599999999999,5.32
KSH006,KSH,1,5897,619,5278,7.666974133030942,14.526286724196556,9.5,9.5,2.5650000000000004,2.5650000000000004,6.0467,5.4136,5.85677,6.17
KSH006,KSH,2,5897,619,5278,7.912811842047766,14.992064876937789,4.81,3.17,0.43289999999999995,0.2853,6.0467,5.4136,5.85677,6.17
KSH006,KSH,3,5897,619,5278,4.513034370482768,8.550652463968866,9.5,9.5,1.045,1.045,6.0467,5.4136,5.85677,6.17
KSH006,KSH,4,5897,619,5278,3.873923433783961,7.339756411110195,5.81,4.22,0.8714999999999999,0.6329999999999999,6.0467,5.4136,5.85677,6.17
KSH006,KSH,5,5897,619,5278,7.384058315238151,13.99025827062931,8.71,6.81,1.1323,0.8853,6.0467,5.4136,5.85677,6.17
KSH007,KSH,1,7050,96,6954,2.6516492605793003,3.8131280710084847,4.84,3.93,1.3068,1.0611000000000002,2.4047,2.0600000000000005,2.30129,2.42
KSH007,KSH,2,7050,96,6954,3.548952539975138,5.103469283829649,0.82,0.7,0.07379999999999999,0.063,2.4047,2.0600000000000005,2.30129,2.42
KSH007,KSH,3,7050,96,6954,3.325710844881131,4.782442975095098,5.0,5.25,0.55,0.5775,2.4047,2.0600000000000005,2.30129,2.42
