name,place_id,buss_status,geometry,update_time
拾初輕食,ChIJ5YUkDzY7aTQRXa-4vgWrn2M,OPERATIONAL,"{'lat': 24.0432586, 'lng': 120.6951854}",2025/11/19 06:30:28
敘 MODERN •,ChIJfdmk9HI7aTQRPJ-za3PadQ4,OPERATIONAL,"{'lat': 24.0474899, 'lng': 120.6877245}",2025/11/19 06:30:28
Shokunin Ice Lab,ChIJEdKgDN47aTQRDPg4ILdYQiI,OPERATIONAL,"{'lat': 24.0439762, 'lng': 120.6955541}",2025/11/19 06:30:28
Minsheng House of Microhistory,ChIJs1NHuiM7aTQRX1jw7uCIJZg,OPERATIONAL,"{'lat': 24.0394172, 'lng': 120.6926991}",2025/11/19 06:30:28
胖子與貓,ChIJAVCOzHo7aTQRyPr-iWinUto,OPERATIONAL,"{'lat': 24.043036, 'lng': 120.6876178}",2025/11/19 06:30:28
尚品蒸餃,ChIJZ9FfgDI7aTQR2gIpua9RUKE,OPERATIONAL,"{'lat': 24.0443976, 'lng': 120.6883066}",2025/11/19 06:30:28
